strain,stress
0.05905,372.4
0.05914,399.8
0.05923,400.7
0.0593,400.6
0.05937,399.5
0.05944,401.2
0.05953,403.2
0.05962,402.3
0.05967,399.1
0.05975,398.8
0.05983,400
0.05992,400.9
0.06,396.8
0.06005,401.8
0.06013,398.9
0.06022,399
0.06031,400
0.06038,401.7
0.06045,403.4
0.06051,404
0.06061,401.3
0.06069,404.9
0.06075,401.1
0.06082,403.4
0.0609,404.5
0.06099,402.8
0.06108,400.9
0.06114,401.1
0.06121,402.6
0.06128,403.6
0.06137,401.2
0.06144,402.7
0.06151,403.1
0.06158,404.7
0.06167,403.6
0.06176,404.8
0.06183,402.6
0.0619,404.3
0.06196,407.1
0.06206,408.5
0.06214,403
0.06221,408.8
0.06228,408.5
0.06235,406.9
0.06244,405.5
0.06253,403.9
0.06259,408
0.06266,410.2
0.06274,408.9
0.06282,408
0.06291,406.6
0.06297,403.7
0.06304,406.5
0.06313,407.3
0.06322,407.5
0.06328,407.6
0.06335,408.4
0.06342,408.1
0.06351,404.2
0.06361,405.4
0.06367,406.4
0.06374,405.5
0.06381,411.2
0.06389,406.6
0.06399,407.9
0.06404,407.3
0.06411,411.4
0.06419,410.7
0.06426,409.7
0.06436,404.3
0.06442,409.1
0.06449,410.4
0.06458,410.9
0.06467,407.3
0.06473,413.1
0.0648,407.2
0.06488,408.1
0.06497,410.9
0.06506,409.8
0.06511,414.6
0.06518,411
0.06526,408.8
0.06533,409
0.06541,407.8
0.06548,408.1
0.06555,411.9
0.06564,411.5
0.06573,413.6
0.06578,410.3
0.06586,415.3
0.06593,410.8
0.06602,414.5
0.0661,410.9
0.06618,410.3
0.06625,412.7
0.06634,414.8
0.06642,413.1
0.06649,412.1
0.06656,410.8
0.06663,409.8
0.06672,414.1
0.06681,415.3
0.06688,413.4
0.06695,412.1
0.06702,416
0.0671,411.1
0.06719,412.5
0.06724,415
0.06731,409.7
0.0674,415.3
0.06749,413.4
0.06756,415
0.06763,415.4
0.06769,415.9
0.06778,416.1
0.06787,413
0.06793,418.1
0.068,417.2
0.06809,417.7
0.06817,418.5
0.06825,418.3
0.06832,419.4
0.06838,417.2
0.06847,413.4
0.06855,415.9
0.06861,415.1
0.06869,414.5
0.06877,417.4
0.06886,416
0.06895,408.9
0.06901,415.2
0.06907,418.6
0.06915,418.3
0.06923,420.1
0.0693,418.1
0.06938,420.8
0.06944,421.4
0.06953,420.7
0.06962,414
0.06967,422.1
0.06975,420.2
0.06983,420
0.06991,420.1
0.07,421.4
0.07007,421.1
0.07013,419.9
0.07023,416.3
0.07031,419.2
0.07037,417.8
0.07043,422.5
0.07051,419.9
0.07058,420.7
0.07068,418.8
0.07074,419.5
0.07081,421.2
0.07089,418.1
0.07096,421.4
0.07105,421
0.07112,420
0.07119,417
0.07127,422.8
0.07135,420.9
0.07142,420.4
0.07149,422.1
0.07149,
0.07157,423.2
0.07165,422.8
0.07173,419.3
0.07179,426.7
0.07187,425.4
0.07195,425.3
0.07203,423.4
0.07211,425.5
0.07217,424.8
0.07225,424.8
0.07233,423.3
0.0724,421.1
0.07248,426.4
0.07256,420.6
0.07262,423.7
0.0727,424
0.07279,422.2
0.07285,425.9
0.07293,424.8
0.073,423.8
0.07308,425.1
0.07317,424.5
0.07323,428.6
0.07331,426.4
0.07339,424.6
0.07346,421.9
0.07354,423.8
0.07361,428.5
0.07368,426.2
0.07376,426.1
0.07384,429.7
0.07391,424.3
0.07399,426.3
0.07406,426
0.07414,427.7
0.07422,425.2
0.07429,426.7
0.07436,424.7
0.07444,429.7
0.07452,430
0.0746,427.4
0.07467,429.3
0.07474,426
0.07482,426.4
0.07489,431
0.07497,429.2
0.07504,433.6
0.07511,427.7
0.0752,430.7
0.07527,429
0.07535,429.9
0.07542,429.1
0.0755,438.5
0.07557,428.1
0.07565,435.8
0.07572,429.6
0.0758,426
0.07587,429
0.07595,431.2
0.07604,428.8
0.0761,433.5
0.07618,433
0.07625,430.6
0.07633,429.7
0.07641,429.3
0.07647,430
0.07655,428.3
0.07663,433.7
0.07671,434.7
0.07678,429
0.07686,429.7
0.07692,428.7
0.077,429.5
0.07709,425.7
0.07715,430.2
0.07723,435.7
0.07731,431.6
0.07739,434.2
0.07746,432
0.07753,437.1
0.07761,433.8
0.07768,432.3
0.07777,438.1
0.07783,432.5
0.07791,431.5
0.07798,434.8
0.07806,433.5
0.07814,436.1
0.07821,432.5
0.07829,436.3
0.07837,436.5
0.07844,433.6
0.07851,435.1
0.07859,432.8
0.07866,439.6
0.07874,433.8
0.07882,434.5
0.07889,433.3
0.07897,434.8
0.07905,435.7
0.07912,437.3
0.0792,435.2
0.07926,435.9
0.07934,433.6
0.07941,434.7
0.07949,441.7
0.07957,438.4
0.07965,435.2
0.07971,434.3
0.07979,434.7
0.07987,437
0.07994,437.3
0.08001,436.1
0.08009,435.1
0.08017,440.1
0.08025,438.5
0.08031,437.2
0.08039,437.5
0.08046,436.6
0.08054,431.7
0.08061,438.6
0.08069,436.4
0.08075,436.3
0.08084,437.7
0.08092,441.1
0.08099,437.2
0.08106,435.9
0.08109,440.1
0.08117,440.4
0.08124,436.2
