Element,Atomic_Number,Period,Group,Electronegativity,Atomic_Radius_pm
H,1,1,1,2.2,53
He,2,1,18,,31
Li,3,2,1,0.98,152
Be,4,2,2,1.57,112
B,5,2,13,2.04,85
C,6,2,14,2.55,70
N,7,2,15,3.04,65
O,8,2,16,3.44,60
F,9,2,17,3.98,50
Ne,10,2,18,,38
Na,11,3,1,0.93,186
Mg,12,3,2,1.31,160
Al,13,3,13,1.61,143
Si,14,3,14,1.9,118
P,15,3,15,2.19,110
S,16,3,16,2.58,103
Cl,17,3,17,3.16,99
Ar,18,3,18,,71
K,19,4,1,0.82,227
Ca,20,4,2,1.0,197
Sc,21,4,3,1.36,162
Ti,22,4,4,1.54,147
V,23,4,5,1.63,134
Cr,24,4,6,1.66,128
Mn,25,4,7,1.55,127
Fe,26,4,8,1.83,126
Co,27,4,9,1.88,125
Ni,28,4,10,1.91,124
Cu,29,4,11,1.9,128
Zn,30,4,12,1.65,134
Ga,31,4,13,1.81,135
Ge,32,4,14,2.01,122
As,33,4,15,2.18,119
Se,34,4,16,2.55,116
Br,35,4,17,2.96,114
Kr,36,4,18,,88
