sample_id,density,youngs_modulus,thermal_conductivity,service_temp,material_class
M001,4.502,107.8,97.78,1289.0,Semiconductor
M002,3.006,134.9,35.93,1232.0,Semiconductor
M003,2.199,122.9,81.29,1424.0,Semiconductor
M004,1.16,0.7,0.3,131.0,Polymer
M005,3.819,401.2,25.72,2955.0,Ceramic
M006,9.512,121.2,88.88,1750.0,Metal
M007,4.187,371.2,13.26,2763.0,Ceramic
M008,3.309,359.5,17.42,2004.0,Ceramic
M009,5.977,106.4,101.39,1675.0,Metal
M010,3.997,141.9,61.67,1373.0,Semiconductor
M011,2.198,113.0,109.48,1243.0,Semiconductor
M012,4.346,343.5,7.46,1881.0,Ceramic
M013,1.207,2.4,0.34,181.0,Polymer
M014,1.461,1.9,0.42,231.0,Polymer
M015,1.082,2.2,0.39,194.0,Polymer
M016,4.259,93.0,178.08,1416.0,Semiconductor
M017,1.211,1.2,0.22,202.0,Polymer
M018,9.378,148.7,117.13,918.0,Metal
M019,4.63,103.3,172.49,1233.0,Semiconductor
M020,8.545,105.4,139.94,1405.0,Metal
M021,3.328,115.1,173.04,1318.0,Semiconductor
M022,2.504,140.7,56.52,1001.0,Semiconductor
M023,3.501,358.8,3.37,2151.0,Ceramic
M024,4.838,434.5,30.03,1814.0,Ceramic
M025,5.64,347.8,16.04,2114.0,Ceramic
M026,6.597,148.9,96.08,1409.0,Metal
M027,3.854,109.1,108.95,1587.0,Semiconductor
M028,7.541,81.7,56.19,1408.0,Metal
M029,1.197,4.6,0.05,276.0,Polymer
M030,1.192,2.7,0.16,203.0,Polymer
M031,3.095,139.8,93.97,1433.0,Semiconductor
M032,1.213,4.6,0.18,135.0,Polymer
M033,3.562,373.6,14.07,2839.0,Ceramic
M034,2.108,325.0,19.09,2295.0,Ceramic
M035,2.907,374.5,34.89,2023.0,Ceramic
M036,7.892,144.7,90.77,1560.0,Metal
M037,4.321,153.2,50.3,1238.0,Semiconductor
M038,8.889,149.3,141.07,1265.0,Metal
M039,1.02,2.1,0.22,231.0,Polymer
