,jid,spg_number,spg_symbol,formula,formation_energy_peratom,func,optb88vdw_bandgap
1,JVASP-90856,129,P4/nmm,TiCuSiAs,-0.42762,OptB88vdW,0
2,JVASP-86097,221,Pm-3m,DyB6,-0.41596,OptB88vdW,0
3,JVASP-64906,119,I-4m2,Be2OsRu,0.04847,OptB88vdW,0
4,JVASP-98225,14,P2_1/c,KBi,-0.4414,OptB88vdW,0.472
5,JVASP-10,164,P-3m1,VSe2,-0.71026,OptB88vdW,0
6,JVASP-14014,62,Pnma,TbMnSi,-0.45468,OptB88vdW,0
7,JVASP-64664,216,F-43m,Ba4NaBi,0.09202,OptB88vdW,0
8,JVASP-22556,221,Pm-3m,SrFeO3,-2.07159,OptB88vdW,0
9,JVASP-86726,216,F-43m,LuNi4Sn,-0.42539,OptB88vdW,0
10,JVASP-28634,156,P3m1,MoW3Se2S6,-0.79449,OptB88vdW,0.689
11,JVASP-98550,166,R-3m,Ba4CeMn3O12,-2.76746,OptB88vdW,1.517
12,JVASP-89265,62,Pnma,Fe2SiO4,-1.78124,OptB88vdW,0
13,JVASP-97915,225,Fm-3m,Ba14Na14LiN6,-0.34176,OptB88vdW,0
14,JVASP-90228,148,R-3,Ag2IO6,0.01013,OptB88vdW,0
15,JVASP-42300,22,F222,Li4Mn3Cr3O12,-2.05294,OptB88vdW,0
16,JVASP-86968,162,P-31m,CdAs2O6,-1.32124,OptB88vdW,2.122
17,JVASP-90532,146,R3,FeOF,-1.66274,OptB88vdW,0
18,JVASP-50332,71,Immm,Na2CuO2,-1.21362,OptB88vdW,0
19,JVASP-86205,204,Im-3,SmSb12Os4,-0.12737,OptB88vdW,0
20,JVASP-28704,156,P3m1,Mo3WSe6S2,-0.68238,OptB88vdW,0.502
21,JVASP-60702,61,Pbca,PdSe8Cl2,-0.15071,OptB88vdW,1.197
22,JVASP-97799,62,Pnma,BaGe2,-0.62743,OptB88vdW,0.56
23,JVASP-28565,156,P3m1,Te2Mo2WSe2S2,-0.49933,OptB88vdW,0.051
24,JVASP-86436,148,R-3,LiSbF6,-2.61531,OptB88vdW,4.907
25,JVASP-1372,216,F-43m,AlAs,-0.57639,OptB88vdW,1.681
26,JVASP-14873,221,Pm-3m,SrB6,-0.49796,OptB88vdW,0.016
27,JVASP-28397,53,Pmna,SiS,-0.38924,OptB88vdW,0.658
28,JVASP-98284,71,Immm,Ce2Al16Pt9,-1.02389,OptB88vdW,0
29,JVASP-89025,63,Cmcm,Na2Si2Se5,-0.73062,OptB88vdW,2.472
30,JVASP-1996,225,Fm-3m,NaI,-1.35798,OptB88vdW,3.851
31,JVASP-48166,8,Cm,LiMn5O3F5,-2.01511,OptB88vdW,0.482
32,JVASP-15345,38,Amm2,YCoC2,-0.44713,OptB88vdW,0
33,JVASP-97378,62,Pnma,Rb2PdI6,-0.83191,OptB88vdW,0.924
34,JVASP-97984,13,P2/c,TbTaO4,-3.52032,OptB88vdW,4.03
35,JVASP-98224,11,P2_1/m,Ni3Te2,-0.15005,OptB88vdW,0
36,JVASP-98167,14,P2_1/c,FeH8Cl2O4,-0.93989,OptB88vdW,0.239
37,JVASP-64045,216,F-43m,Ba4TaZn,1.09945,OptB88vdW,0
38,JVASP-63912,216,F-43m,Ba4CaRe,1.18903,OptB88vdW,0
39,JVASP-64003,216,F-43m,Ba4TeSe,-0.37497,OptB88vdW,0
40,JVASP-64584,216,F-43m,Ba4NaGe,0.35284,OptB88vdW,0
41,JVASP-64240,216,F-43m,Ba4HgPb,0.18269,OptB88vdW,0
42,JVASP-107772,160,R3m,Bi3Sb,-0.00064,OptB88vdW,0
43,JVASP-64719,216,F-43m,Ba4YNb,0.96642,OptB88vdW,0
44,JVASP-97499,147,P-3,K4MnMo4O15,-2.24322,OptB88vdW,1.569
45,JVASP-64377,216,F-43m,Ba4LiHf,0.83413,OptB88vdW,0
46,JVASP-21210,225,Fm-3m,Xe,9.00E-05,OptB88vdW,6.149
47,JVASP-97677,4,P2_1,Rb2GeB4O9,-2.40698,OptB88vdW,4.072
48,JVASP-65101,216,F-43m,BeReBi4,1.58807,OptB88vdW,0
49,JVASP-65062,216,F-43m,Ca4BeW,1.23549,OptB88vdW,0
50,JVASP-97570,2,P-1,Na2Cr2O7,-2.01742,OptB88vdW,2.341
51,JVASP-64983,216,F-43m,BeCu4W,0.39528,OptB88vdW,0
