Compound,K (W/mK)
C12H24,0.14
C3H6O,0.1535
C2H2,0.0218
Al,255.94
Al2O3,0.042
NH3,0.0252
NH4Br,2.51
NH4Cl,2.51
Sb,18.41
C6H5NH2,0.17
Sb2Te3,3.305
Ar,0.018
As2Te3,2.59
Ba,33.47
BaF2,11.297
BaSO4,1.674
C6H6,0.141
Be,184.1
CaB6,39.16
CCl4,0.11
CHCl3,0.13
Fe2O3,10
FeO,3.5
FeCl3,0.48
FeS,7
Fe(NO3)3,0.18
AlN,160
Al(OH)3,1
Al2S3,7.5
AlPO4,2.5
NiO,17
NiS,10
NiCl2,0.2
Ni(NO3)2,0.6
NiAs,6
CH4,0.034
C2H6,0.016
C3H8,0.018
C4H10,0.019
Ni3Al,76
TiAl,20
Fe3Al,30
CoSi2,60
WC,84
CuO,76
ZnO,60
SnO2,25
MgO,52
NaCl,6.5
Na2CO3,2
Na2SO4,7
NaOH,2
NaNO3,0.5
CaO,16
CaCO3,2.7
CaCl2,0.49
CaSO4,0.5
Ca(OH)2,0.28
